ID,Predictions
20,22.732380952380954
119,22.58
149,24.51
155,24.51
163,24.19
213,22.9
215,22.9
357,22.095
372,24.025000000000002
393,18.212380952380947
440,11.449999999999994
443,10.959999999999996
494,23.09857142857143
526,16.284999999999997
611,23.220000000000002
642,14.850476190476188
651,12.739999999999997
691,11.762380952380946
694,12.666129032258059
695,13.165483870967739
716,30.800000000000004
740,35.12428571428572
767,25.632380952380952
783,19.35
791,17.739999999999995
842,19.67
848,24.35761904761905
952,18.7
1006,24.143809523809526
1013,23.575714285714287
1015,22.9
1054,16.119999999999997
1069,15.312380952380948
1085,14.357619047619043
1088,14.189999999999996
1109,22.747619047619043
1151,16.449999999999996
1221,21.83904761904762
1258,20.655238095238094
1291,17.089999999999996
1303,15.799999999999997
1327,15.479999999999997
1360,16.444999999999997
1401,22.407142857142855
1419,23.06
1489,22.08238095238095
1493,22.58
1522,23.712857142857143
1590,22.897312186978297
1596,29.659523809523815
1696,17.254999999999995
1698,18.58333333333333
1720,22.711904761904762
1725,22.574999999999996
1769,10.980476190476185
1777,10.472380952380949
1783,10.959999999999996
1852,13.728095238095234
1873,14.349999999999994
1877,14.669999999999995
1953,15.967619047619046
1957,15.327619047619043
1984,11.609999999999994
2003,11.300476190476186
2012,17.899999999999995
2059,28.060000000000002
2110,16.285
2144,21.67705882352941
2162,23.224999999999998
2167,22.9
2169,23.560476190476187
2174,22.415
2179,21.457619047619044
2185,20.8
2188,21.077096774193553
2189,21.183548387096774
2213,20.304761904761904
2223,19.675
2229,19.334761904761905
2302,20.426666666666666
2340,15.159999999999997
2445,16.754761904761903
2466,16.124999999999996
2483,20.010608330836074
2529,19.264146341463416
2530,19.108048780487806
5431,22.473548387096773
5432,22.36709677419355
5453,22.09
5461,21.929999999999996
5462,21.93
5467,21.93
5514,23.705000000000002
5539,22.58
5547,22.58
5551,22.25
5572,22.25
5577,22.25
5579,21.29160642570281
5581,21.35493506493506
5621,14.509999999999994
5638,12.739999999999997
5672,16.769999999999996
5674,17.227741935483866
5679,18.544999999999995
5729,15.316097560975606
5734,14.303548387096768
5737,13.97852459016393
5749,10.959999999999996
5768,22.255000000000003
5783,22.422857142857143
5872,10.959999999999996
5881,21.125
5884,21.125
5903,17.90761904761904
5920,16.449999999999996
5943,12.414999999999997
5957,14.260563380281685
6033,18.212380952380947
6073,17.299677419354833
6074,17.509354838709672
6081,19.182380952380953
6093,21.285000000000004
6137,21.496451612903225
6138,21.39322580645161
6175,20.502857142857142
6262,19.79741935483871
6280,16.922380952380948
6302,15.799999999999997
6333,13.873811722312928
6422,16.449999999999996
6427,17.10523809523809
6430,17.56714285714285
6446,23.869999999999997
6508,17.90761904761904
6541,15.959999999999999
2638,23.06
2645,22.58
2671,23.067619047619047
2687,22.9
2728,21.93
2742,21.93
2762,23.540000000000003
2780,23.869999999999997
2829,22.25
2853,30.614285714285717
2899,15.159999999999997
2913,13.869999999999994
2935,12.097619047619045
2943,12.915238095238093
2961,18.227619047619044
2966,20.345714285714287
3015,19.51
3033,15.632380952380947
3046,13.219999999999995
3124,24.515000000000004
3128,23.544999999999998
3146,16.140476190476186
3191,13.51428571428571
3197,12.42285714285714
3209,11.442380952380947
3212,11.442380952380947
3228,23.067619047619047
